country-code,info,
4,"Afghanistan is a landlocked country in South Asia known for its rugged mountain ranges and rich cultural heritage."
8,"Albania is a small Balkan country known for its stunning coastline along the Adriatic and Ionian Seas, ancient ruins, and vibrant cities like Tirana."
12,"Algeria is the largest country in Africa and the 10th largest in the world, famous for its diverse landscapes ranging from the Sahara Desert to the Mediterranean coastline."
24,"Angola, located in Southern Africa, is known for its natural resources, including oil and diamonds, as well as its vibrant music and dance culture."
10,"Antarctica is Earth's southernmost continent, mostly uninhabited and covered in ice. It is a hub for scientific research and home to diverse wildlife such as penguins and seals."
32,"Argentina, located in South America, is famous for its tango music and dance, as well as its diverse landscapes encompassing the Andes mountains, glaciers, and the grasslands of the Pampas."
51,"Armenia, located in the South Caucasus region, is known for its ancient history, medieval monasteries, and breathtaking mountain scenery."
36,"Australia is a vast country and continent known for its stunning natural landscapes, unique wildlife including kangaroos and koalas, and vibrant cities like Sydney and Melbourne."
40,"Austria, located in Central Europe, is renowned for its stunning Alpine scenery, classical music heritage, and architectural gems like Vienna's Schönbrunn Palace."
31,"Azerbaijan, located at the crossroads of Eastern Europe and Western Asia, is known for its rich history, traditional carpets, and modern architectural marvels in the capital city, Baku."
44,"The Bahamas is an archipelago in the Atlantic Ocean known for its pristine white sandy beaches, crystal-clear turquoise waters, and vibrant coral reefs, making it a popular destination for tourists."
50,"Bangladesh, located in South Asia, is known for its fertile river deltas, vibrant culture, and bustling cities like Dhaka."
112,"Belarus, located in Eastern Europe, is known for its beautiful countryside, rich cultural heritage, and historic cities like Minsk and Brest."
56,"Belgium is a small country in Western Europe famous for its medieval towns, delicious chocolates, and world-renowned beers."
84,"Belize, located on the northeastern coast of Central America, is known for its stunning barrier reef, diverse wildlife, and ancient Mayan ruins."
204,"Benin, located in West Africa, is known for its vibrant markets, rich history of kingdoms and voodoo culture, and the historic city of Ouidah."
64,"Bhutan, nestled in the Eastern Himalayas, is renowned for its stunning landscapes, preserved Buddhist monasteries, and the concept of Gross National Happiness."
68,"Bolivia, located in South America, is known for its diverse geography, including the Andes mountains, the Uyuni Salt Flats, and the Amazon rainforest."
70,"Bosnia and Herzegovina, located in the Balkan Peninsula, is known for its historic cities, stunning landscapes, and cultural fusion of Eastern and Western influences."
72,"Botswana is a landlocked country in Southern Africa known for its abundant wildlife, vast Kalahari Desert, and the Okavango Delta, a unique inland delta."
76,"Brazil, the largest country in South America, is famous for its vibrant Carnival, stunning Amazon rainforest, iconic landmarks like Christ the Redeemer, and its passion for football."
96,"Brunei Darussalam, located on the island of Borneo in Southeast Asia, is known for its rich oil reserves, pristine rainforests, and Islamic architecture."
100,"Bulgaria, located in Eastern Europe, is known for its ancient Thracian ruins, charming medieval towns, and picturesque Black Sea coastline."
854,"Burkina Faso, located in West Africa, is known for its vibrant traditional culture, diverse ethnic groups, and the enchanting beauty of the Sahel region."
108,"Burundi, located in East Africa, is known for its stunning landscapes, including Lake Tanganyika, as well as its troubled history and ongoing efforts for peace and development."
116,"Cambodia is a Southeast Asian country famous for its magnificent Angkor Wat temple complex, tropical beaches, and rich Khmer cultural heritage."
120,"Cameroon, located in Central Africa, is known for its diverse landscapes ranging from rainforests to savannas, as well as its vibrant music and cultural traditions."
124,"Canada is the second-largest country in the world, known for its stunning natural beauty, including the Rocky Mountains, Niagara Falls, and vast wilderness areas."
140,"The Central African Republic, located in Central Africa, is known for its unique wildlife, including forest elephants and gorillas, as well as its rich cultural heritage."
148,"Chad, located in Central Africa, is known for its diverse landscapes, including the Sahara Desert, and its ancient history as part of powerful African empires."
152,"Chile, a long and narrow country in South America, is famous for its breathtaking natural landscapes, such as the Atacama Desert, Patagonia, and Easter Island."
156,"China, the most populous country in the world, is renowned for its ancient history, iconic landmarks like the Great Wall and Forbidden City, and diverse cuisine."
170,"Colombia, located in South America, is known for its vibrant culture, stunning landscapes ranging from the Amazon rainforest to the Caribbean coastline, and its famous coffee."
178,"The Republic of the Congo, also known as Congo-Brazzaville, is located in Central Africa and is known for its dense rainforests, diverse wildlife, and vibrant music and dance."
180,"The Democratic Republic of the Congo, often referred to as DRC, is the second-largest country in Africa and is famous for its vast rainforests, wildlife, and the mighty Congo River."
188,"Costa Rica, located in Central America, is known for its stunning biodiversity, lush rainforests, active volcanoes, and beautiful beaches."
384,"Cote d'Ivoire, also known as Ivory Coast, is located in West Africa and is famous for its vibrant music and dance, cocoa production, and diverse ethnic groups."
191,"Croatia, located in Southeast Europe, is known for its stunning Adriatic coastline, ancient walled cities like Dubrovnik, and picturesque islands."
192,"Cuba, the largest island in the Caribbean, is famous for its rich cultural heritage, vintage cars, vibrant music and dance, and stunning beaches."
196,"Cyprus, an island country in the Eastern Mediterranean, is known for its beautiful beaches, ancient ruins, and a unique blend of Greek and Turkish influences."
203,"The Czech Republic, located in Central Europe, is renowned for its historic castles, charming towns, delicious beer, and contributions to art and literature."
208,"Denmark is a Scandinavian country known for its picturesque countryside, fairy-tale castles, and the vibrant city of Copenhagen."
262,"Djibouti, located in the Horn of Africa, is known for its otherworldly landscapes, such as the salt lakes and volcanic formations, and its strategic importance as a major shipping route."
214,"The Dominican Republic, located in the Caribbean, is known for its stunning beaches, colonial architecture, lively merengue music, and passion for baseball."
218,"Ecuador, located in South America, is known for its incredible biodiversity, the Galapagos Islands, the Andes mountains, and vibrant indigenous cultures."
818,"Egypt, a transcontinental country in North Africa and the Middle East, is famous for its ancient pyramids, iconic Nile River, and cultural treasures like the temples of Luxor and Karnak."
222,"El Salvador, the smallest country in Central America, is known for its beautiful beaches, volcanoes, Mayan ruins, and pupusas, a traditional Salvadoran dish."
226,"Equatorial Guinea, located on the west coast of Central Africa, is known for its rich oil reserves, unique wildlife, and diverse indigenous cultures."
232,"Eritrea, located in the Horn of Africa, is known for its fascinating ancient ruins, beautiful Red Sea coastline, and vibrant traditional cultures."
233,"Estonia, located in Northern Europe, is known for its stunning Baltic Sea islands, medieval architecture in Tallinn, and its status as a global leader in digital innovation."
